Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude
0,Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151
1,Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555
2,Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,,
3,Genre Box,Now through 1/28/2024,Market Theatre,Theatre,Downtown,,
4,Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,47.6086439,-122.337685
5,Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,,
6,Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691
7,Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,,
8,Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319
9,Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151
10,Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555
11,Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,,
12,Genre Box,Now through 1/28/2024,Market Theatre,Theatre,Downtown,,
13,Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,47.6086439,-122.337685
14,Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,,
15,Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691
16,Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,,
17,Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319
18,Black and Boujee Panel Discussion,1/28/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,
19,Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705
20,Django’s Birthday Concert with Ranger and the Re-Arrangers,1/28/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722
21,Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151
22,Fossil Finders | Ice Ages,1/28/2024,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
23,Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486
24,Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,,
25,Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915
26,"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734
27,Walla Walla Wine On Tour,1/29/2024,Marion Oliver McCaw Hall,Festivals & Special Events,Queen Anne / Seattle Center,47.62397705,-122.35038850536958
28,Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685
29,Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391
30,Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,,
31,A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636
32,Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636
33,Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691
34,FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391
35,G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,,
36,JP Saxe,1/31/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726
37,Los Lobos,1/31/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685
38,The Daimonics,1/31/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722
39,BabyTron,2/1/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726
40,Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319
41,Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,
42,Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915
43,Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108
44,Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,
45,Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,
46,Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,
47,Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284
48,American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722
49,Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284
50,Memoir,2/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705
51,Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928
52,Poolside,2/2/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726
53,Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,
54,Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,47.6258303,-122.3581949
55,The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705
56,All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,,
57,Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222
58,Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,,
59,Mau P,2/3/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726
60,Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284
61,Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,,
62,The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843
63,The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle,47.5589937,-122.285421
64,Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705
65,Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705
66,Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691
67,Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,,
68,Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151
69,Lil Skies,2/4/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726
